Код групи;Назва спеціальності;Кафедра
ЕК–11;Економіка (Економічна кібернетика);Економіки підприємства
ЕК–21;Економіка (Економічна кібернетика);Економіки підприємства
ЕК-11інт;Економіка (Економічна кібернетика);Комп'ютерних технологій та економічної кібернетики
ЕК-21інт;Економіка (Економічна кібернетика);Комп'ютерних технологій та економічної кібернетики
ЕП–41;Підприємництво, торгівля та біржова діяльність;Економіки підприємства
МАР–31інт;Маркетинг;Маркетингу
М–11інт;Менеджмент;Менеджменту
МЕ–31;Міжнародні економічні відносини;Міжнародної економіки
ОА–21інт;Облік і оподаткування;Обліку і аудиту
УПЕП–11;Економіка (УПЕП);Економіки підприємства
ФІН–41;Фінанси, банківська справа та страхування;Економіки підприємства
